Stock Name,Stock Ticker,Category,Stock Explain,Resources
Devon Energy,DVN,Energy,Devon Energy Corporation is an independent oil and natural gas producer focusing on efficient operations and sustainable energy production in North America.,http://www.devonenergy.com
Dexcom,DXCM,Health Care,"DexCom, Inc. is a medical device company specializing in continuous glucose monitoring (CGM) systems for diabetes management. Its products improve patient health and convenience.",http://www.dexcom.com
Diamondback Energy,FANG,Energy,"Diamondback Energy, Inc. is an independent oil and natural gas company focused on exploration and production in the Permian Basin, a leading oil-producing region in the United States.",http://www.diamondbackenergy.com
Digital Realty,DLR,Real Estate,"Digital Realty Trust, Inc. is a real estate investment trust (REIT) that owns and operates data centers worldwide, providing secure and scalable infrastructure for cloud and IT solutions.",http://www.digitalrealty.com
Discover Financial,DFS,Financials,"Discover Financial Services is a financial services company offering credit cards, personal loans, and banking products. It is known for its Discover Card and rewards programs.",http://www.discover.com
Dollar General,DG,Consumer Staples,"Dollar General Corporation operates a chain of discount stores offering household essentials, groceries, and seasonal items at competitive prices. It focuses on serving rural and underserved communities.",http://www.dollargeneral.com
Dollar Tree,DLTR,Consumer Staples,"Dollar Tree, Inc. operates discount variety stores, including Dollar Tree and Family Dollar, offering products for $1 or slightly above. It caters to value-conscious shoppers.",http://www.dollartree.com
Dominion Energy,D,Utilities,"Dominion Energy, Inc. is a utility company providing electricity and natural gas to customers in the United States. It focuses on renewable energy projects and energy efficiency.",http://www.dominionenergy.com
Domino's,DPZ,Consumer Discretionary,"Domino’s Pizza, Inc. is a global leader in pizza delivery and carryout services. It operates a franchise-based business model and is known for its focus on technology-driven customer convenience.",http://www.dominos.com
Dover Corporation,DOV,Industrials,"Dover Corporation is a diversified global manufacturer of industrial products and equipment. It serves industries such as printing, energy, refrigeration, and fluid handling.",http://www.dovercorporation.com
Dow Inc.,DOW,Materials,"Dow Inc. is a global leader in materials science, producing chemicals, plastics, and advanced materials for various industries, including packaging, construction, and electronics.",http://www.dow.com
D. R. Horton,DHI,Consumer Discretionary,"D.R. Horton, Inc. is the largest homebuilder in the United States, constructing single-family homes, townhomes, and condos. It focuses on affordability and quality.",http://www.drhorton.com
DTE Energy,DTE,Utilities,DTE Energy Company is a diversified energy company providing electricity and natural gas services in Michigan. It also invests in renewable energy projects like wind and solar.,http://www.dteenergy.com
Duke Energy,DUK,Utilities,"Duke Energy Corporation is a leading electric power holding company, serving millions of customers in the United States. It is transitioning toward renewable energy and grid modernization.",http://www.duke-energy.com
DuPont,DD,Materials,"DuPont de Nemours, Inc. is a global innovation company providing advanced materials, specialty chemicals, and solutions for industries like electronics, automotive, and healthcare.",http://www.dupont.com
Eastman Chemical Company,EMN,Materials,"Eastman Chemical Company produces specialty chemicals, plastics, and fibers for industries such as automotive, packaging, and construction. It focuses on sustainable material solutions.",http://www.eastman.com
Eaton Corporation,ETN,Industrials,"Eaton Corporation plc is a global power management company providing electrical, hydraulic, and mechanical solutions for energy-efficient and sustainable operations.",http://www.eaton.com
eBay,EBAY,Consumer Discretionary,"eBay Inc. is an online marketplace that connects buyers and sellers globally. It facilitates the exchange of goods across various categories, including electronics, fashion, and collectibles.",http://www.ebay.com
Ecolab,ECL,Materials,"Ecolab Inc. provides water, hygiene, and energy technologies and services. It helps businesses maintain clean environments and improve water and energy efficiency.",http://www.ecolab.com
Edison International,EIX,Utilities,"Edison International is a utility holding company providing electricity through its subsidiary, Southern California Edison. It focuses on renewable energy and grid reliability.",http://www.edison.com
Edwards Lifesciences,EW,Health Care,Edwards Lifesciences Corporation specializes in medical technologies for structural heart disease and critical care monitoring. It is a leader in transcatheter heart valve innovations.,http://www.edwards.com
Electronic Arts,EA,Communication Services,"Electronic Arts Inc. (EA) is a leading video game developer and publisher. It is known for popular franchises like FIFA, Madden NFL, and The Sims, focusing on interactive entertainment.",http://www.ea.com
Elevance Health,ELV,Health Care,"Elevance Health, Inc., formerly Anthem, is a health insurance company offering medical, dental, and vision plans. It supports individuals, businesses, and government programs.",http://www.elevancehealth.com
Emerson Electric,EMR,Industrials,Emerson Electric Co. is a global technology and engineering company providing automation solutions and commercial/residential products for various industries.,http://www.emerson.com
Enphase Energy,ENPH,Information Technology,"Enphase Energy, Inc. designs and manufactures microinverters for solar energy systems. It focuses on providing efficient, reliable, and scalable solar power solutions.",http://www.enphase.com
Entergy,ETR,Utilities,Entergy Corporation is a utility company providing electricity to customers in the southern United States. It is investing in renewable energy projects and nuclear power generation.,http://www.entergy.com
EOG Resources,EOG,Energy,"EOG Resources, Inc. is an independent oil and natural gas company specializing in exploration and production. It focuses on cost-efficient operations and sustainable energy development.",http://www.eogresources.com
EPAM Systems,EPAM,Information Technology,"EPAM Systems, Inc. is a global provider of digital transformation, IT consulting, and software engineering services. It helps businesses modernize their operations with innovative technology.",http://www.epam.com
EQT Corporation,EQT,Energy,EQT Corporation is the largest producer of natural gas in the United States. It focuses on sustainable and efficient natural gas exploration and production in the Appalachian Basin.,http://www.eqt.com
Equifax,EFX,Industrials,"Equifax Inc. is a global data, analytics, and technology company specializing in credit reporting and identity verification services. It helps businesses and consumers make informed decisions.",http://www.equifax.com
Equinix,EQIX,Real Estate,"Equinix, Inc. is a real estate investment trust (REIT) that operates data centers worldwide, providing interconnection and colocation services to businesses and cloud service providers.",http://www.equinix.com
Equity Residential,EQR,Real Estate,"Equity Residential is a real estate investment trust (REIT) that owns and operates residential rental properties, focusing on high-demand urban and suburban areas in the United States.",http://www.equityapartments.com
Erie Indemnity,ERIE,Financials,"Erie Indemnity Company manages operations for the Erie Insurance Group, providing property and casualty insurance products for individuals and businesses.",http://www.erieinsurance.com
Essex Property Trust,ESS,Real Estate,"Essex Property Trust, Inc. is a real estate investment trust (REIT) that develops, owns, and operates multifamily residential properties primarily in West Coast markets.",http://www.essexapartmenthomes.com
EstÃ©e Lauder Companies (The),EL,Consumer Staples,"The Estée Lauder Companies Inc. is a global leader in beauty products, offering skincare, makeup, fragrance, and hair care brands like Estée Lauder, Clinique, and MAC.",http://www.elcompanies.com
Everest Group,EG,Financials,"Evergy, Inc. provides electricity generation, transmission, and distribution services in Kansas and Missouri. It focuses on renewable energy initiatives like wind and solar.",http://www.evergy.com
Evergy,EVRG,Utilities,"Evergy, Inc. is an energy company serving customers in Kansas and Missouri. It focuses on renewable energy, including wind and solar power, and improving energy efficiency.",http://www.evergy.com
Eversource Energy,ES,Utilities,"Eversource Energy is a utility company providing electricity, natural gas, and water services in New England. It invests in renewable energy projects, such as offshore wind farms.",http://www.eversource.com
Exelon,EXC,Utilities,"Exelon Corporation is a utility company focused on power generation and energy delivery. It operates one of the largest fleets of nuclear, wind, and solar power plants in the U.S.",http://www.exeloncorp.com
Expedia Group,EXPE,Consumer Discretionary,"Expedia Group, Inc. is an online travel company providing booking services for hotels, flights, car rentals, and vacation packages through platforms like Expedia, Hotels.com, and Vrbo.",http://www.expediagroup.com
Expeditors International,EXPD,Industrials,"Expeditors International of Washington, Inc. is a global logistics company offering air and ocean freight forwarding, customs brokerage, and supply chain solutions.",http://www.expeditors.com
Extra Space Storage,EXR,Real Estate,Extra Space Storage Inc. is a real estate investment trust (REIT) specializing in self-storage facilities. It operates storage units for personal and business use across the U.S.,http://www.extraspace.com
ExxonMobil,XOM,Energy,"Exxon Mobil Corporation is one of the largest publicly traded energy companies, focusing on oil, natural gas, and chemical production. It is investing in renewable energy and carbon capture technologies.",http://www.exxonmobil.com
"F5, Inc.",FFIV,Information Technology,"F5, Inc. provides application services and security solutions to ensure the availability, performance, and security of enterprise applications in multi-cloud environments.",http://www.f5.com
FactSet,FDS,Financials,"FactSet Research Systems Inc. provides financial data and analytics to investment professionals, helping them make informed decisions across asset management, banking, and wealth management.",http://www.factset.com
Fair Isaac,FICO,Information Technology,"Fair Isaac Corporation, known as FICO, develops predictive analytics and decision management software. It is best known for its FICO credit score used in lending and credit decisions.",http://www.fico.com
Fastenal,FAST,Industrials,"Fastenal Company is a distributor of industrial and construction supplies, offering a wide range of fasteners, tools, and safety products to businesses.",http://www.fastenal.com
Federal Realty Investment Trust,FRT,Real Estate,Federal Realty Investment Trust is a real estate investment trust (REIT) specializing in owning and managing retail and mixed-use properties in high-density markets.,http://www.federalrealty.com
FedEx,FDX,Industrials,"FedEx Corporation is a global leader in logistics, offering shipping, transportation, and supply chain solutions for businesses and individuals worldwide.",http://www.fedex.com
Fidelity National Information Services,FIS,Financials,"Fidelity National Information Services, Inc. (FIS) provides technology solutions for the banking, payment, and capital markets industries, focusing on digital transformation.",http://www.fisglobal.com
Fifth Third Bancorp,FITB,Financials,"Fifth Third Bancorp is a regional bank providing personal and commercial banking services, including loans, mortgages, and investment management, in the U.S.",http://www.53.com
First Solar,FSLR,Information Technology,"First Solar, Inc. is a leading manufacturer of photovoltaic (PV) solar panels and provider of utility-scale solar energy solutions. It focuses on sustainability and energy efficiency.",http://www.firstsolar.com
FirstEnergy,FE,Utilities,FirstEnergy Corp. is a utility company providing electricity to customers in the Midwest and Mid-Atlantic U.S. It is investing in renewable energy and modernizing the power grid.,http://www.firstenergycorp.com
Fiserv,FI,Financials,"Fiserv, Inc. is a global leader in financial technology, offering payment processing, banking solutions, and e-commerce platforms for businesses and financial institutions.",http://www.fiserv.com
FMC Corporation,FMC,Materials,"FMC Corporation is an agricultural sciences company providing crop protection solutions, including insecticides, herbicides, and fungicides, to support sustainable farming.",http://www.fmc.com
Ford Motor Company,F,Consumer Discretionary,"Ford Motor Company is a global automaker specializing in the design, manufacture, and sale of automobiles, trucks, and electric vehicles (EVs). It is known for iconic models like the Mustang and F-Series trucks.",http://www.ford.com
Fortinet,FTNT,Information Technology,"Fortinet, Inc. is a cybersecurity company offering a broad range of security solutions, including firewalls, endpoint protection, and network security tools, with a focus on integrated and automated platforms.",http://www.fortinet.com
Fortive,FTV,Industrials,"Fortive Corporation is a diversified industrial technology company providing essential solutions in fields such as automation, healthcare, and transportation technologies.",http://www.fortive.com
Fox Corporation (Class A),FOXA,Communication Services,"Fox Corporation operates as a media company with properties in news, sports, and entertainment. Its brands include Fox News, Fox Sports, and the Fox Television Network.",http://www.foxcorporation.com
Fox Corporation (Class B),FOX,Communication Services,"Fox Corporation Class B shares are similar to Class A but have limited voting rights. The company operates in media and entertainment, with a focus on news and sports content.",http://www.foxcorporation.com
Franklin Resources,BEN,Financials,"Franklin Resources, Inc., operating as Franklin Templeton, is a global investment management firm providing mutual funds, ETFs, and advisory services to individuals and institutions.",http://www.franklintempleton.com
Freeport-McMoRan,FCX,Materials,"Freeport-McMoRan Inc. is a leading international mining company specializing in the production of copper, gold, and molybdenum. It operates large-scale mines in North and South America.",http://www.fcx.com
Garmin,GRMN,Consumer Discretionary,"Garmin Ltd. is a multinational technology company specializing in GPS-enabled devices and applications for automotive, aviation, marine, fitness, and outdoor activities.",http://www.garmin.com
Gartner,IT,Information Technology,"Gartner, Inc. is a leading research and advisory company providing insights, tools, and services to help businesses make informed decisions about technology and business strategies.",http://www.gartner.com
GE Aerospace,GE,Industrials,"General Electric Company is a global industrial conglomerate focusing on power generation, renewable energy, healthcare technologies, and aviation equipment.",http://www.ge.com
GE HealthCare,GEHC,Health Care,"GE HealthCare Technologies Inc. is a spin-off from General Electric, specializing in medical imaging, monitoring, and digital health solutions for healthcare providers worldwide.",http://www.gehealthcare.com
GE Vernova,GEV,Industrials,"GE Vernova is the energy business of General Electric, focusing on renewable energy, power generation, and grid solutions. It combines wind, hydro, and gas power technologies to provide sustainable and efficient energy solutions globally. GE Vernova plays a critical role in accelerating the transition to a cleaner energy future.",http://www.ge.com/vernova
Gen Digital,GEN,Information Technology,"Gen Digital Inc., formerly NortonLifeLock, is a cybersecurity company offering identity theft protection, antivirus software, and digital security solutions for individuals and businesses.",http://www.gendigital.com
Generac,GNRC,Industrials,"Generac Holdings Inc. is a leading manufacturer of backup power generation products, including residential, commercial, and industrial generators, as well as energy storage systems.",http://www.generac.com
General Dynamics,GD,Industrials,"General Dynamics Corporation is a global aerospace and defense company providing products and services, including combat vehicles, submarines, IT solutions, and business jets.",http://www.gd.com
General Mills,GIS,Consumer Staples,"General Mills, Inc. is a multinational food company known for its packaged consumer foods, including brands like Cheerios, Pillsbury, and Häagen-Dazs.",http://www.generalmills.com
General Motors,GM,Consumer Discretionary,"General Motors Company is a leading automaker producing a wide range of vehicles under brands like Chevrolet, GMC, Cadillac, and Buick. It is also investing heavily in electric and autonomous vehicle technologies.",http://www.gm.com
Genuine Parts Company,GPC,Consumer Discretionary,Genuine Parts Company distributes automotive and industrial replacement parts through brands like NAPA Auto Parts. It serves automotive and industrial markets globally.,http://www.genpt.com
Gilead Sciences,GILD,Health Care,"Gilead Sciences, Inc. is a biopharmaceutical company focusing on developing therapies for HIV/AIDS, liver diseases, cancer, and other chronic and severe conditions.",http://www.gilead.com
Global Payments,GPN,Financials,Global Payments Inc. is a provider of payment technology and software solutions to businesses worldwide. It facilitates secure and seamless digital payment processing.,http://www.globalpayments.com
Globe Life,GL,Financials,"Globe Life Inc. is an insurance company offering life and supplemental health insurance products to individuals and families, focusing on affordability and accessibility.",http://www.globelifeinsurance.com
GoDaddy,GDDY,Information Technology,GoDaddy Inc. is a web hosting and domain registration company that helps individuals and businesses establish and grow their online presence through digital tools and services.,http://www.godaddy.com
Goldman Sachs,GS,Financials,"The Goldman Sachs Group, Inc. is a leading global investment banking, securities, and asset management firm, providing financial services to corporations, governments, and individuals.",http://www.goldmansachs.com
Halliburton,HAL,Energy,"Halliburton Company is a global leader in oilfield services and equipment, providing solutions for energy exploration, drilling, and production.",http://www.halliburton.com
Hartford (The),HIG,Financials,"The Hartford Financial Services Group, Inc. provides insurance products, including property and casualty, group benefits, and mutual funds, to individuals and businesses.",http://www.thehartford.com
Hasbro,HAS,Consumer Discretionary,"Hasbro, Inc. is a global toy and entertainment company that designs and markets toys, games, and entertainment content. Its iconic brands include Monopoly, Nerf, and Transformers.",http://www.hasbro.com
HCA Healthcare,HCA,Health Care,"HCA Healthcare, Inc. operates a network of hospitals and healthcare facilities in the United States. It provides comprehensive medical services, including surgery, emergency care, and specialized treatments.",http://www.hcahealthcare.com
Healthpeak Properties,DOC,Real Estate,Physicians Realty Trust is a real estate investment trust (REIT) specializing in healthcare properties. It owns and manages medical office buildings leased to healthcare providers.,http://www.docreit.com
Henry Schein,HSIC,Health Care,"Henry Schein, Inc. is a healthcare distribution company providing medical, dental, and veterinary products, as well as business solutions for healthcare professionals.",http://www.henryschein.com
Hershey Company (The),HSY,Consumer Staples,"The Hershey Company is a leading manufacturer of chocolate, confectionery, and snack products. Its brands include Hershey’s, Reese’s, and KitKat.",http://www.thehersheycompany.com
Hess Corporation,HES,Energy,"Hess Corporation is an energy company involved in the exploration, production, and development of oil and natural gas resources. It operates globally with a focus on sustainable energy solutions.",http://www.hess.com
Hewlett Packard Enterprise,HPE,Information Technology,"Hewlett Packard Enterprise Company provides IT solutions, including servers, storage, networking, and cloud services. It focuses on helping businesses modernize and manage their IT infrastructure.",http://www.hpe.com
Hilton Worldwide,HLT,Consumer Discretionary,"Hilton Worldwide Holdings Inc. operates a global network of hotels and resorts under brands like Hilton, Waldorf Astoria, and DoubleTree. It focuses on luxury and hospitality.",http://www.hilton.com
Hologic,HOLX,Health Care,"Hologic, Inc. is a medical technology company specializing in diagnostic products, medical imaging systems, and surgical solutions, particularly for women’s health.",http://www.hologic.com
Home Depot (The),HD,Consumer Discretionary,"The Home Depot, Inc. is the largest home improvement retailer in the United States, offering tools, construction products, and services for DIY enthusiasts and professionals.",http://www.homedepot.com
Honeywell,HON,Industrials,"Honeywell International Inc. is a multinational conglomerate providing aerospace products, building technologies, and performance materials. It focuses on innovation and energy efficiency.",http://www.honeywell.com
Hormel Foods,HRL,Consumer Staples,"Hormel Foods Corporation is a global food company known for its packaged and processed meats, including brands like Spam, Skippy, and Jennie-O Turkey.",http://www.hormelfoods.com
Host Hotels & Resorts,HST,Real Estate,"Host Hotels & Resorts, Inc. is a real estate investment trust (REIT) that owns and operates upscale hotels and resorts in major cities and vacation destinations.",http://www.hosthotels.com
Howmet Aerospace,HWM,Industrials,"Howmet Aerospace Inc. is a global manufacturer of advanced engineered solutions, specializing in aerospace components, including jet engine parts and structural components.",http://www.howmet.com
HP Inc.,HPQ,Information Technology,"HP Inc. is a global technology company known for its personal computers, printers, and imaging devices. It focuses on innovation in printing and computing technologies.",http://www.hp.com
Hubbell Incorporated,HUBB,Industrials,"Hubbell Incorporated designs and manufactures electrical and lighting products for residential, commercial, and industrial markets. It focuses on energy-efficient solutions.",http://www.hubbell.com
Humana,HUM,Health Care,"Humana Inc. is a health insurance company offering Medicare, Medicaid, and commercial plans. It also provides healthcare services and wellness programs.",http://www.humana.com
Huntington Bancshares,HBAN,Financials,"Huntington Bancshares Incorporated is a regional bank providing banking, lending, and investment services to businesses and consumers in the Midwest United States.",http://www.huntington.com
Huntington Ingalls Industries,HII,Industrials,"Huntington Ingalls Industries, Inc. is the largest military shipbuilding company in the United States, specializing in the construction of nuclear-powered ships and submarines.",http://www.huntingtoningalls.com
IBM,IBM,Information Technology,"IBM Corporation is a global technology company providing hardware, software, and consulting services. It is known for its innovations in artificial intelligence, cloud computing, and enterprise IT solutions.",http://www.ibm.com
IDEX Corporation,IEX,Industrials,"IDEX Corporation is a diversified industrial company that manufactures pumps, valves, and fluidics systems for industries like healthcare, water treatment, and energy.",http://www.idexcorp.com
Idexx Laboratories,IDXX,Health Care,"IDEXX Laboratories, Inc. develops veterinary diagnostics, software, and water testing solutions. It focuses on improving animal health and water quality.",http://www.idexx.com
Illinois Tool Works,ITW,Industrials,"Illinois Tool Works Inc. is a diversified industrial manufacturer producing specialized tools, equipment, and consumables for various industries, including automotive and construction.",http://www.itw.com
Incyte,INCY,Health Care,Incyte Corporation is a biopharmaceutical company focused on developing therapies for oncology and other serious diseases. Its products include treatments for cancer and immune disorders.,http://www.incyte.com
Ingersoll Rand,IR,Industrials,"Ingersoll Rand Inc. is a global provider of industrial and mission-critical equipment, including air compressors, pumps, and power tools, serving diverse industries.",http://www.irco.com
Insulet Corporation,PODD,Health Care,"Insulet Corporation is a medical device company specializing in insulin management systems for people with diabetes. Its flagship product, Omnipod, provides a tubeless, wearable insulin pump.",http://www.insulet.com
Intel,INTC,Information Technology,"Intel Corporation is a global leader in semiconductor design and manufacturing, producing processors, chipsets, and technologies for computers, servers, and AI applications.",http://www.intel.com
Intercontinental Exchange,ICE,Financials,"Intercontinental Exchange, Inc. operates global financial markets and provides data services. It owns exchanges like the New York Stock Exchange and offers trading platforms for commodities, equities, and derivatives.",http://www.intercontinentalexchange.com
International Flavors & Fragrances,IFF,Materials,"International Flavors & Fragrances Inc. creates innovative solutions in fragrances, flavors, and food ingredients, serving industries like food, beverage, and personal care.",http://www.iff.com
International Paper,IP,Materials,"International Paper Company is a global leader in packaging and paper products, producing corrugated boxes, containerboard, and cellulose fibers for various applications.",http://www.internationalpaper.com
Interpublic Group of Companies (The),IPG,Communication Services,"The Interpublic Group of Companies, Inc. is a global advertising and marketing services company, offering solutions in advertising, media planning, public relations, and digital marketing.",http://www.interpublic.com
Intuit,INTU,Information Technology,"Intuit Inc. provides financial software for individuals and small businesses, including popular products like TurboTax, QuickBooks, and Mint, enabling financial management and tax preparation.",http://www.intuit.com
Intuitive Surgical,ISRG,Health Care,"Intuitive Surgical, Inc. is a pioneer in robotic-assisted surgery, developing systems like the da Vinci Surgical System, which enhances precision and minimally invasive surgical procedures.",http://www.intuitive.com
Invesco,IVZ,Financials,"Invesco Ltd. is an investment management company offering mutual funds, ETFs, and financial advisory services to individual and institutional clients worldwide.",http://www.invesco.com
Invitation Homes,INVH,Real Estate,"Invitation Homes Inc. is a real estate investment trust (REIT) specializing in single-family rental homes, providing high-quality rental properties across the United States.",http://www.invitationhomes.com
IQVIA,IQV,Health Care,"IQVIA Holdings Inc. is a global provider of advanced analytics, technology solutions, and contract research services for the healthcare and life sciences industries.",http://www.iqvia.com
Iron Mountain,IRM,Real Estate,"Iron Mountain Incorporated is a real estate investment trust (REIT) providing secure storage, data management, and information protection services for businesses globally.",http://www.ironmountain.com
J.B. Hunt,JBHT,Industrials,"J.B. Hunt Transport Services, Inc. is a leading transportation and logistics company offering intermodal, truckload, and dedicated freight solutions in North America.",http://www.jbhunt.com
Jabil,JBL,Information Technology,"Jabil Inc. is a global manufacturing solutions provider offering design, production, and supply chain services for industries such as electronics, healthcare, and automotive.",http://www.jabil.com
Jack Henry & Associates,JKHY,Financials,"Jack Henry & Associates, Inc. provides technology solutions for financial institutions, including core banking systems, payment processing, and digital banking platforms.",http://www.jackhenry.com
Jacobs Solutions,J,Industrials,"Jacobs Solutions Inc. is a global engineering and professional services firm providing solutions in infrastructure, environmental sustainability, and technology-driven industries.",http://www.jacobs.com
Johnson & Johnson,JNJ,Health Care,"Johnson & Johnson is a global healthcare company producing pharmaceuticals, medical devices, and consumer health products. Its brands include Tylenol, Band-Aid, and Neutrogena.",http://www.jnj.com
Johnson Controls,JCI,Industrials,"Johnson Controls International plc specializes in building technology and energy solutions, offering products such as HVAC systems, fire safety equipment, and building automation.",http://www.johnsoncontrols.com
JPMorgan Chase,JPM,Financials,"JPMorgan Chase & Co. is a leading global financial institution offering investment banking, asset management, and consumer banking services to individuals and corporations.",http://www.jpmorganchase.com
Juniper Networks,JNPR,Information Technology,"Juniper Networks, Inc. designs and markets networking products, including routers, switches, and cybersecurity solutions, enabling high-performance and secure network infrastructure.",http://www.juniper.net
Kellanova,K,Consumer Staples,"Kellogg Company is a global food manufacturer specializing in cereal, snacks, and convenience foods. Its brands include Kellogg’s, Pringles, and Eggo.",http://www.kelloggcompany.com
Kenvue,KVUE,Consumer Staples,"Kenvue Inc. is a consumer health company that was spun off from Johnson & Johnson. It focuses on over-the-counter medicines, skincare, and personal care products.",http://www.kenvue.com
Keurig Dr Pepper,KDP,Consumer Staples,"Keurig Dr Pepper Inc. is a beverage company offering a diverse portfolio of soft drinks, coffee, and teas under brands like Dr Pepper, 7UP, and Keurig.",http://www.keurigdrpepper.com
KeyCorp,KEY,Financials,"KeyCorp operates as a regional bank providing retail and commercial banking services, including loans, mortgages, and wealth management solutions.",http://www.key.com
Keysight Technologies,KEYS,Information Technology,"Keysight Technologies Inc. provides electronic measurement solutions for industries like telecommunications, aerospace, and automotive. Its products support innovation and testing.",http://www.keysight.com
Kimberly-Clark,KMB,Consumer Staples,"Kimberly-Clark Corporation is a global manufacturer of personal care and hygiene products, including well-known brands like Huggies, Kleenex, and Cottonelle.",http://www.kimberly-clark.com
Kimco Realty,KIM,Real Estate,Kimco Realty Corporation is a real estate investment trust (REIT) specializing in open-air shopping centers and mixed-use properties across the United States.,http://www.kimcorealty.com
Kinder Morgan,KMI,Energy,"Kinder Morgan, Inc. is one of the largest energy infrastructure companies in North America, focusing on the transportation and storage of natural gas, petroleum, and CO?.",http://www.kindermorgan.com
KKR,KKR,Financials,"KKR & Co. Inc. is a global investment firm providing private equity, real estate, and credit solutions. It focuses on long-term investments to create value across sectors.",http://www.kkr.com
KLA Corporation,KLAC,Information Technology,KLA Corporation is a leading supplier of process control and yield management solutions for semiconductor and electronics manufacturing. It enables precise quality control in chip production.,http://www.kla.com
Kraft Heinz,KHC,Consumer Staples,"The Kraft Heinz Company is a global food and beverage company offering iconic brands like Heinz ketchup, Kraft cheese, and Oscar Mayer, serving consumers worldwide.",http://www.kraftheinzcompany.com
Kroger,KR,Consumer Staples,"The Kroger Co. operates one of the largest supermarket chains in the United States, offering groceries, pharmaceuticals, and household goods through its extensive store network.",http://www.kroger.com
L3Harris,LHX,Industrials,"L3Harris Technologies, Inc. is a global aerospace and defense technology company providing solutions for communications, avionics, and surveillance for military and commercial applications.",http://www.l3harris.com
LabCorp,LH,Health Care,Laboratory Corporation of America Holdings (LabCorp) is a leading healthcare diagnostics company offering clinical laboratory services and drug development support globally.,http://www.labcorp.com
Lam Research,LRCX,Information Technology,"Lam Research Corporation is a supplier of wafer fabrication equipment and services for the semiconductor industry, supporting chip manufacturers in advanced electronics production.",http://www.lamresearch.com
Lamb Weston,LW,Consumer Staples,"Lamb Weston Holdings, Inc. is a leading producer of frozen potato products, including French fries and hash browns, serving restaurants, retailers, and foodservice customers worldwide.",http://www.lambweston.com
Las Vegas Sands,LVS,Consumer Discretionary,"Las Vegas Sands Corp. is a global developer and operator of luxury resorts and casinos, focusing on integrated resorts with entertainment, dining, and convention facilities.",http://www.sands.com
Leidos,LDOS,Industrials,"Leidos Holdings, Inc. provides technology solutions in defense, healthcare, and civil markets, focusing on IT modernization, cybersecurity, and analytics.",http://www.leidos.com
Lennar,LEN,Consumer Discretionary,"Lennar Corporation is one of the largest homebuilders in the United States, constructing single-family homes, townhomes, and apartments in high-demand regions.",http://www.lennar.com
Lennox International,LII,Industrials,"Lennox International Inc. designs, manufactures, and markets heating, ventilation, air conditioning (HVAC), and refrigeration equipment for residential and commercial applications.",http://www.lennox.com
Lilly (Eli),LLY,Health Care,"Eli Lilly and Company is a global pharmaceutical company developing innovative treatments for diabetes, oncology, neuroscience, and other therapeutic areas.",http://www.lilly.com
Linde plc,LIN,Materials,"Linde plc is a leading industrial gas company supplying gases and related technologies for applications in healthcare, energy, manufacturing, and electronics.",http://www.linde.com
Live Nation Entertainment,LYV,Communication Services,"Live Nation Entertainment, Inc. is a live entertainment company promoting concerts, festivals, and events globally. It also owns Ticketmaster, a leading ticketing platform.",http://www.livenationentertainment.com
LKQ Corporation,LKQ,Consumer Discretionary,"LKQ Corporation is a distributor of replacement parts, components, and systems for automobiles and trucks, serving the aftermarket industry with a focus on quality and affordability.",http://www.lkqcorp.com
Lockheed Martin,LMT,Industrials,"Lockheed Martin Corporation is a global aerospace and defense company providing advanced technologies in aviation, space, and missile systems for governments and commercial customers.",http://www.lockheedmartin.com
Loews Corporation,L,Financials,"Loews Corporation is a diversified holding company with investments in insurance, energy, hospitality, and manufacturing businesses, including CNA Financial and Diamond Offshore.",http://www.loews.com
Lowe's,LOW,Consumer Discretionary,"Lowe’s Companies, Inc. operates a chain of home improvement and hardware stores, offering building materials, tools, appliances, and garden supplies to homeowners and contractors.",http://www.lowes.com
Lululemon Athletica,LULU,Consumer Discretionary,"Lululemon Athletica Inc. designs and retails athletic apparel and accessories, focusing on high-quality products for yoga, running, and active lifestyles.",http://www.lululemon.com
LyondellBasell,LYB,Materials,"LyondellBasell Industries N.V. is a global chemical company producing plastics, chemicals, and refining products for industries like packaging, automotive, and construction.",http://www.lyondellbasell.com
M&T Bank,MTB,Financials,"M&T Bank Corporation is a regional bank providing retail and commercial banking services, including loans, mortgages, and wealth management solutions in the northeastern United States.",http://www.mtb.com
Marathon Petroleum,MPC,Energy,"Marathon Petroleum Corporation is a leading energy company specializing in refining, marketing, and transporting petroleum products. It operates one of the largest refining systems in the United States.",http://www.marathonpetroleum.com
MarketAxess,MKTX,Financials,MarketAxess Holdings Inc. operates an electronic trading platform for fixed-income securities. It provides efficient and transparent trading solutions for institutional investors.,http://www.marketaxess.com
Marriott International,MAR,Consumer Discretionary,"Marriott International, Inc. is a global hospitality company operating hotel and resort brands, including Marriott, Sheraton, and Ritz-Carlton, with a focus on luxury and comfort.",http://www.marriott.com
Marsh McLennan,MMC,Financials,"Marsh & McLennan Companies, Inc. is a global professional services firm offering risk management, insurance brokerage, and consulting services through its subsidiaries, Marsh and Mercer.",http://www.mmc.com
Martin Marietta Materials,MLM,Materials,"Martin Marietta Materials, Inc. is a leading supplier of aggregates and heavy building materials used in infrastructure, commercial, and residential construction.",http://www.martinmarietta.com
Masco,MAS,Industrials,"Masco Corporation designs and manufactures home improvement and building products, including faucets, cabinets, and paints. Its brands include Delta, Behr, and KraftMaid.",http://www.masco.com
